"Date","Product_Name","Promotion_Applied","Professions","Line_of_Business","Traffic_on_Site","Status","Campaign_Platform","Tactic_Testing","Promotion_Rate","Course_Cost","Cost_Yeild","Day_of_Week","Campaign_Cost","Leads","promo_effect","platform_effect","Sales","Conversion_Rate"
2022-12-06,"Real Estate Introduction","None","Appraiser","Private",714,"Other","Facebook","A",NA,1500,NA,"Tuesday",144.29,29,0.8,1,1,3.45
2022-12-06,"Appraisers State Exam","None","Mortgage Broker","Commerical",108,"Continuing Education","LinkedIn","B",NA,750,NA,"Tuesday",334.13,34,0.8,1.1,3,8.82
2022-12-06,"75-Hr. PA Sales Pre-Licensing Course Only Package","50% Off","Mortgage Broker","Private",138,"Continuing Education","Email","C",0.5,7500,3750,"Tuesday",101.17,39,1.5,1,7,17.95
2022-12-06,"Rental vs Sales - Defining Your Path","50% Off","Appraiser","Residential",654,"Pre-Licensing","Email","B",0.5,200,100,"Tuesday",104.75,27,1.5,1,6,22.22
2022-12-06,"Outsmartimg the 20215 Housing Market","None","Mortgage Broker","Residential",114,"Continuing Education","LinkedIn","C",NA,1000,NA,"Tuesday",98.14,40,0.8,1.1,3,7.5
2022-12-07,"Rental vs Sales - Defining Your Path","None","Appraiser","Government",922,"Continuing Education","Direct","A",NA,200,NA,"Wednesday",401.11,13,0.8,1.4,0,0
2022-12-07,"Appraisers State Exam","None","Appraiser","Residential",674,"Pre-Licensing","Facebook","B",NA,750,NA,"Wednesday",153.91,5,0.8,1,0,0
2022-12-07,"Real Estate Introduction","40% Off","Appraiser","Government",141,"Continuing Education","LinkedIn","A",0.4,1500,600,"Wednesday",284.95,28,1.3,1.1,5,17.86
2022-12-07,"Outsmartimg the 20215 Housing Market","None","Real Estate Agent","Residential",131,"Other","Email","C",NA,1000,NA,"Wednesday",386.79,40,0.8,1,1,2.5
2022-12-07,"Rental vs Sales - Defining Your Path","50% Off","Other","Other",995,"Continuing Education","Direct","A",0.5,200,100,"Wednesday",292.17,32,1.5,1.4,5,15.62
2022-12-08,"Outsmartimg the 20215 Housing Market","40% Off","Appraiser","Government",841,"Pre-Licensing","Email","A",0.4,1000,400,"Thursday",448.93,38,1.3,1,5,13.16
2022-12-08,"Outsmartimg the 20215 Housing Market","40% Off","Other","Other",317,"Pre-Licensing","Facebook","B",0.4,1000,400,"Thursday",220.09,25,1.3,1,3,12
2022-12-08,"75-Hr. PA Sales Pre-Licensing Course Only Package","40% Off","Mortgage Broker","Residential",379,"Other","Email","A",0.4,7500,3000,"Thursday",122.44,7,1.3,1,0,0
2022-12-08,"20-Hour Mortage Broker Education","None","Other","Government",557,"Pre-Licensing","Email","B",NA,2000,NA,"Thursday",52.1,15,0.8,1,1,6.67
2022-12-08,"75-Hr. PA Sales Pre-Licensing Course Only Package","30% Off","Other","Residential",185,"Pre-Licensing","Conference","A",0.3,7500,2250,"Thursday",184.51,40,1.15,1.3,6,15
2022-12-08,"Appraisers State Exam","None","Mortgage Broker","Residential",130,"Continuing Education","Direct","B",NA,750,NA,"Thursday",134.22,35,0.8,1.4,4,11.43
2022-12-08,"75-Hr. PA Sales Pre-Licensing Course Only Package","None","Other","Private",454,"Continuing Education","Facebook","B",NA,7500,NA,"Thursday",322.97,14,0.8,1,1,7.14
2022-12-08,"Appraisers State Exam","30% Off","Appraiser","Other",125,"Continuing Education","Email","B",0.3,750,225,"Thursday",66.54,29,1.15,1,4,13.79
2022-12-09,"Transition from Home Real Estate to Commerical Real Estate","50% Off","Appraiser","Residential",172,"Continuing Education","Email","C",0.5,750,375,"Friday",206.41,11,1.5,1,2,18.18
2022-12-09,"Rental vs Sales - Defining Your Path","30% Off","Real Estate Agent","Commerical",716,"Continuing Education","Direct","A",0.3,200,60,"Friday",381.36,15,1.15,1.4,1,6.67
2022-12-09,"Real Estate Introduction","None","Appraiser","Commerical",415,"Other","LinkedIn","A",NA,1500,NA,"Friday",410.15,18,0.8,1.1,1,5.56
2022-12-09,"Appraisers State Exam","None","Real Estate Agent","Other",353,"Continuing Education","Email","A",NA,750,NA,"Friday",238.21,31,0.8,1,1,3.23
2022-12-09,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Mortgage Broker","Private",231,"Pre-Licensing","Direct","B",0.3,750,225,"Friday",190.29,12,1.15,1.4,2,16.67
2022-12-10,"20-Hour Mortage Broker Education","None","Mortgage Broker","Private",167,"Other","Conference","B",NA,2000,NA,"Saturday",165.86,17,0.8,1.3,2,11.76
2022-12-10,"Rental vs Sales - Defining Your Path","50% Off","Mortgage Broker","Commerical",412,"Other","Facebook","A",0.5,200,100,"Saturday",213.92,11,1.5,1,1,9.09
2022-12-11,"Real Estate Introduction","30% Off","Appraiser","Residential",313,"Continuing Education","LinkedIn","A",0.3,1500,450,"Sunday",111.76,6,1.15,1.1,1,16.67
2022-12-11,"Appraisers State Exam","50% Off","Real Estate Agent","Government",514,"Pre-Licensing","Email","C",0.5,750,375,"Sunday",328.31,22,1.5,1,2,9.09
2022-12-11,"20-Hour Mortage Broker Education","50% Off","Real Estate Agent","Other",434,"Pre-Licensing","LinkedIn","B",0.5,2000,1000,"Sunday",135.98,34,1.5,1.1,5,14.71
2022-12-11,"Appraisers State Exam","40% Off","Mortgage Broker","Other",558,"Continuing Education","Email","B",0.4,750,300,"Sunday",471.34,8,1.3,1,1,12.5
2022-12-11,"Real Estate Introduction","None","Mortgage Broker","Commerical",588,"Pre-Licensing","LinkedIn","A",NA,1500,NA,"Sunday",53.3,23,0.8,1.1,1,4.35
2022-12-11,"75-Hr. PA Sales Pre-Licensing Course Only Package","50% Off","Real Estate Agent","Commerical",949,"Continuing Education","Email","B",0.5,7500,3750,"Sunday",106.71,16,1.5,1,3,18.75
2022-12-11,"Rental vs Sales - Defining Your Path","50% Off","Appraiser","Commerical",657,"Other","Email","B",0.5,200,100,"Sunday",217.18,23,1.5,1,4,17.39
2022-12-11,"75-Hr. PA Sales Pre-Licensing Course Only Package","40% Off","Real Estate Agent","Government",525,"Continuing Education","Direct","C",0.4,7500,3000,"Sunday",485.38,28,1.3,1.4,3,10.71
2022-12-12,"Appraisers State Exam","30% Off","Other","Residential",734,"Other","Email","B",0.3,750,225,"Monday",387.86,13,1.15,1,1,7.69
2022-12-12,"75-Hr. PA Sales Pre-Licensing Course Only Package","40% Off","Real Estate Agent","Other",592,"Other","Direct","B",0.4,7500,3000,"Monday",404.14,15,1.3,1.4,2,13.33
2022-12-12,"Appraisers State Exam","40% Off","Real Estate Agent","Private",438,"Continuing Education","Email","A",0.4,750,300,"Monday",86.34,10,1.3,1,1,10
2022-12-12,"75-Hr. PA Sales Pre-Licensing Course Only Package","30% Off","Other","Residential",928,"Pre-Licensing","Facebook","A",0.3,7500,2250,"Monday",418.07,21,1.15,1,2,9.52
2022-12-12,"Real Estate Introduction","None","Appraiser","Government",613,"Pre-Licensing","Facebook","B",NA,1500,NA,"Monday",346.46,21,0.8,1,2,9.52
2022-12-12,"Appraisers State Exam","None","Real Estate Agent","Residential",811,"Pre-Licensing","LinkedIn","C",NA,750,NA,"Monday",264.74,7,0.8,1.1,0,0
2022-12-13,"Appraisers State Exam","30% Off","Mortgage Broker","Other",534,"Other","Direct","A",0.3,750,225,"Tuesday",386.66,26,1.15,1.4,6,23.08
2022-12-13,"Real Estate Introduction","None","Other","Government",508,"Continuing Education","Facebook","B",NA,1500,NA,"Tuesday",70.57,18,0.8,1,2,11.11
2022-12-13,"Rental vs Sales - Defining Your Path","None","Real Estate Agent","Private",301,"Pre-Licensing","Direct","C",NA,200,NA,"Tuesday",450.61,20,0.8,1.4,2,10
2022-12-13,"Outsmartimg the 20215 Housing Market","40% Off","Mortgage Broker","Private",800,"Pre-Licensing","Email","C",0.4,1000,400,"Tuesday",207.51,38,1.3,1,4,10.53
2022-12-14,"75-Hr. PA Sales Pre-Licensing Course Only Package","None","Real Estate Agent","Residential",253,"Continuing Education","Direct","C",NA,7500,NA,"Wednesday",122.56,16,0.8,1.4,1,6.25
2022-12-14,"Rental vs Sales - Defining Your Path","40% Off","Mortgage Broker","Residential",377,"Pre-Licensing","Facebook","B",0.4,200,80,"Wednesday",197.31,8,1.3,1,0,0
2022-12-14,"Transition from Home Real Estate to Commerical Real Estate","None","Other","Residential",529,"Continuing Education","Facebook","A",NA,750,NA,"Wednesday",138.26,19,0.8,1,1,5.26
2022-12-14,"20-Hour Mortage Broker Education","None","Mortgage Broker","Commerical",261,"Continuing Education","Email","B",NA,2000,NA,"Wednesday",227.93,12,0.8,1,0,0
2022-12-14,"75-Hr. PA Sales Pre-Licensing Course Only Package","None","Real Estate Agent","Private",878,"Pre-Licensing","Email","B",NA,7500,NA,"Wednesday",337.54,21,0.8,1,1,4.76
2022-12-14,"Real Estate Introduction","30% Off","Mortgage Broker","Government",579,"Pre-Licensing","Direct","B",0.3,1500,450,"Wednesday",182.6,18,1.15,1.4,2,11.11
2022-12-14,"Real Estate Introduction","None","Appraiser","Commerical",954,"Continuing Education","Direct","B",NA,1500,NA,"Wednesday",308.62,39,0.8,1.4,6,15.38
2022-12-15,"Rental vs Sales - Defining Your Path","30% Off","Real Estate Agent","Residential",898,"Continuing Education","Direct","C",0.3,200,60,"Thursday",327.14,12,1.15,1.4,2,16.67
2022-12-15,"Appraisers State Exam","None","Appraiser","Private",337,"Continuing Education","Direct","A",NA,750,NA,"Thursday",97.77,37,0.8,1.4,5,13.51
2022-12-15,"Rental vs Sales - Defining Your Path","50% Off","Appraiser","Residential",257,"Other","LinkedIn","C",0.5,200,100,"Thursday",192.98,10,1.5,1.1,2,20
2022-12-15,"Rental vs Sales - Defining Your Path","None","Real Estate Agent","Government",993,"Continuing Education","Facebook","B",NA,200,NA,"Thursday",318.96,36,0.8,1,3,8.33
2022-12-15,"20-Hour Mortage Broker Education","None","Appraiser","Government",691,"Continuing Education","LinkedIn","C",NA,2000,NA,"Thursday",348.08,6,0.8,1.1,0,0
2022-12-15,"Outsmartimg the 20215 Housing Market","None","Mortgage Broker","Other",250,"Pre-Licensing","LinkedIn","C",NA,1000,NA,"Thursday",273.43,6,0.8,1.1,0,0
2022-12-15,"Outsmartimg the 20215 Housing Market","40% Off","Mortgage Broker","Private",431,"Continuing Education","Email","B",0.4,1000,400,"Thursday",368.09,7,1.3,1,1,14.29
2022-12-15,"Rental vs Sales - Defining Your Path","40% Off","Mortgage Broker","Other",719,"Pre-Licensing","Facebook","B",0.4,200,80,"Thursday",430.49,29,1.3,1,2,6.9
2022-12-15,"Appraisers State Exam","None","Mortgage Broker","Government",140,"Continuing Education","Conference","A",NA,750,NA,"Thursday",431.86,10,0.8,1.3,1,10
2022-12-15,"75-Hr. PA Sales Pre-Licensing Course Only Package","None","Real Estate Agent","Government",333,"Pre-Licensing","Direct","A",NA,7500,NA,"Thursday",67.67,38,0.8,1.4,4,10.53
2022-12-16,"75-Hr. PA Sales Pre-Licensing Course Only Package","30% Off","Mortgage Broker","Government",944,"Continuing Education","Email","A",0.3,7500,2250,"Friday",263.19,9,1.15,1,1,11.11
2022-12-16,"Appraisers State Exam","40% Off","Appraiser","Residential",388,"Continuing Education","LinkedIn","C",0.4,750,300,"Friday",483.69,32,1.3,1.1,3,9.38
2022-12-16,"Rental vs Sales - Defining Your Path","None","Other","Government",304,"Pre-Licensing","Email","C",NA,200,NA,"Friday",428.18,13,0.8,1,0,0
2022-12-16,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Mortgage Broker","Residential",638,"Pre-Licensing","Email","C",0.3,750,225,"Friday",415.73,30,1.15,1,4,13.33
2022-12-17,"75-Hr. PA Sales Pre-Licensing Course Only Package","None","Other","Residential",712,"Continuing Education","LinkedIn","C",NA,7500,NA,"Saturday",498.71,22,0.8,1.1,2,9.09
2022-12-17,"Rental vs Sales - Defining Your Path","None","Mortgage Broker","Commerical",761,"Pre-Licensing","Email","A",NA,200,NA,"Saturday",246.44,29,0.8,1,2,6.9
2022-12-17,"Real Estate Introduction","50% Off","Mortgage Broker","Residential",347,"Pre-Licensing","Email","A",0.5,1500,750,"Saturday",368.63,12,1.5,1,2,16.67
2022-12-17,"Appraisers State Exam","None","Other","Residential",311,"Other","LinkedIn","C",NA,750,NA,"Saturday",383.72,34,0.8,1.1,3,8.82
2022-12-17,"75-Hr. PA Sales Pre-Licensing Course Only Package","None","Real Estate Agent","Commerical",752,"Continuing Education","Facebook","C",NA,7500,NA,"Saturday",163.34,12,0.8,1,1,8.33
2022-12-17,"Real Estate Introduction","40% Off","Mortgage Broker","Other",522,"Continuing Education","Direct","C",0.4,1500,600,"Saturday",188.91,39,1.3,1.4,3,7.69
2022-12-18,"Real Estate Introduction","None","Other","Residential",729,"Continuing Education","Email","A",NA,1500,NA,"Sunday",414.25,33,0.8,1,3,9.09
2022-12-18,"Appraisers State Exam","40% Off","Mortgage Broker","Other",987,"Continuing Education","Email","A",0.4,750,300,"Sunday",451.58,23,1.3,1,4,17.39
2022-12-18,"20-Hour Mortage Broker Education","None","Mortgage Broker","Other",508,"Continuing Education","LinkedIn","C",NA,2000,NA,"Sunday",241.82,26,0.8,1.1,1,3.85
2022-12-18,"Appraisers State Exam","None","Mortgage Broker","Other",693,"Pre-Licensing","Email","C",NA,750,NA,"Sunday",483.24,8,0.8,1,0,0
2022-12-18,"75-Hr. PA Sales Pre-Licensing Course Only Package","40% Off","Real Estate Agent","Residential",479,"Continuing Education","Conference","B",0.4,7500,3000,"Sunday",366.19,20,1.3,1.3,2,10
2022-12-18,"75-Hr. PA Sales Pre-Licensing Course Only Package","30% Off","Appraiser","Other",453,"Continuing Education","Direct","B",0.3,7500,2250,"Sunday",304.5,19,1.15,1.4,3,15.79
2022-12-18,"Outsmartimg the 20215 Housing Market","40% Off","Mortgage Broker","Government",552,"Pre-Licensing","Email","B",0.4,1000,400,"Sunday",255.9,33,1.3,1,3,9.09
2022-12-19,"75-Hr. PA Sales Pre-Licensing Course Only Package","None","Other","Other",487,"Other","Direct","A",NA,7500,NA,"Monday",216.97,9,0.8,1.4,0,0
2022-12-19,"Outsmartimg the 20215 Housing Market","50% Off","Real Estate Agent","Other",886,"Continuing Education","Email","B",0.5,1000,500,"Monday",169.69,13,1.5,1,1,7.69
2022-12-19,"Rental vs Sales - Defining Your Path","40% Off","Appraiser","Residential",370,"Other","LinkedIn","C",0.4,200,80,"Monday",119.99,32,1.3,1.1,6,18.75
2022-12-19,"20-Hour Mortage Broker Education","40% Off","Appraiser","Commerical",686,"Continuing Education","Facebook","B",0.4,2000,800,"Monday",255.55,30,1.3,1,3,10
2022-12-19,"Rental vs Sales - Defining Your Path","50% Off","Appraiser","Commerical",464,"Pre-Licensing","Direct","A",0.5,200,100,"Monday",467.93,22,1.5,1.4,2,9.09
2022-12-19,"Outsmartimg the 20215 Housing Market","40% Off","Appraiser","Residential",636,"Pre-Licensing","Direct","B",0.4,1000,400,"Monday",202.47,7,1.3,1.4,1,14.29
2022-12-19,"Transition from Home Real Estate to Commerical Real Estate","40% Off","Appraiser","Other",368,"Continuing Education","LinkedIn","C",0.4,750,300,"Monday",417.02,20,1.3,1.1,1,5
2022-12-20,"20-Hour Mortage Broker Education","None","Mortgage Broker","Commerical",423,"Pre-Licensing","Facebook","A",NA,2000,NA,"Tuesday",430.08,11,0.8,1,0,0
2022-12-20,"Appraisers State Exam","30% Off","Real Estate Agent","Commerical",949,"Continuing Education","Direct","C",0.3,750,225,"Tuesday",85.3,23,1.15,1.4,3,13.04
2022-12-20,"Outsmartimg the 20215 Housing Market","40% Off","Real Estate Agent","Residential",330,"Other","Facebook","A",0.4,1000,400,"Tuesday",372.86,6,1.3,1,0,0
2022-12-20,"Rental vs Sales - Defining Your Path","None","Real Estate Agent","Other",969,"Pre-Licensing","LinkedIn","B",NA,200,NA,"Tuesday",68.33,38,0.8,1.1,4,10.53
2022-12-20,"Transition from Home Real Estate to Commerical Real Estate","50% Off","Mortgage Broker","Other",358,"Pre-Licensing","Facebook","B",0.5,750,375,"Tuesday",227.95,21,1.5,1,3,14.29
2022-12-20,"Rental vs Sales - Defining Your Path","None","Appraiser","Commerical",634,"Continuing Education","LinkedIn","C",NA,200,NA,"Tuesday",466.03,15,0.8,1.1,1,6.67
2022-12-20,"20-Hour Mortage Broker Education","40% Off","Other","Commerical",181,"Continuing Education","Email","C",0.4,2000,800,"Tuesday",385.04,18,1.3,1,2,11.11
2022-12-20,"Real Estate Introduction","None","Mortgage Broker","Government",712,"Continuing Education","Email","C",NA,1500,NA,"Tuesday",295.22,12,0.8,1,0,0
2022-12-20,"75-Hr. PA Sales Pre-Licensing Course Only Package","40% Off","Real Estate Agent","Residential",352,"Continuing Education","LinkedIn","A",0.4,7500,3000,"Tuesday",114.9,8,1.3,1.1,0,0
2022-12-21,"20-Hour Mortage Broker Education","50% Off","Appraiser","Commerical",826,"Continuing Education","Email","C",0.5,2000,1000,"Wednesday",77.42,26,1.5,1,2,7.69
2022-12-22,"Real Estate Introduction","None","Mortgage Broker","Private",599,"Pre-Licensing","Facebook","B",NA,1500,NA,"Thursday",490.44,18,0.8,1,1,5.56
2022-12-22,"Rental vs Sales - Defining Your Path","40% Off","Real Estate Agent","Commerical",411,"Other","LinkedIn","A",0.4,200,80,"Thursday",387.6,16,1.3,1.1,2,12.5
2022-12-22,"75-Hr. PA Sales Pre-Licensing Course Only Package","None","Real Estate Agent","Commerical",637,"Pre-Licensing","Facebook","C",NA,7500,NA,"Thursday",378.15,19,0.8,1,1,5.26
2022-12-23,"75-Hr. PA Sales Pre-Licensing Course Only Package","30% Off","Appraiser","Government",157,"Continuing Education","Facebook","A",0.3,7500,2250,"Friday",139.02,24,1.15,1,3,12.5
2022-12-23,"Rental vs Sales - Defining Your Path","None","Appraiser","Other",598,"Continuing Education","Facebook","A",NA,200,NA,"Friday",295.85,9,0.8,1,0,0
2022-12-23,"Rental vs Sales - Defining Your Path","None","Appraiser","Other",639,"Pre-Licensing","Email","B",NA,200,NA,"Friday",426.97,40,0.8,1,2,5
2022-12-23,"75-Hr. PA Sales Pre-Licensing Course Only Package","30% Off","Other","Private",874,"Continuing Education","Facebook","B",0.3,7500,2250,"Friday",477.32,24,1.15,1,3,12.5
2022-12-23,"20-Hour Mortage Broker Education","50% Off","Appraiser","Government",412,"Continuing Education","LinkedIn","B",0.5,2000,1000,"Friday",69.32,7,1.5,1.1,0,0
2022-12-23,"Real Estate Introduction","30% Off","Real Estate Agent","Commerical",153,"Pre-Licensing","Conference","C",0.3,1500,450,"Friday",452.57,30,1.15,1.3,6,20
2022-12-23,"Real Estate Introduction","50% Off","Other","Private",905,"Pre-Licensing","LinkedIn","A",0.5,1500,750,"Friday",288.96,31,1.5,1.1,3,9.68
2022-12-24,"Transition from Home Real Estate to Commerical Real Estate","None","Mortgage Broker","Commerical",703,"Continuing Education","Email","C",NA,750,NA,"Saturday",123.92,15,0.8,1,1,6.67
2022-12-24,"Outsmartimg the 20215 Housing Market","30% Off","Mortgage Broker","Other",328,"Pre-Licensing","Direct","C",0.3,1000,300,"Saturday",476.26,29,1.15,1.4,6,20.69
2022-12-24,"Appraisers State Exam","30% Off","Appraiser","Other",303,"Continuing Education","Email","C",0.3,750,225,"Saturday",101.89,38,1.15,1,2,5.26
2022-12-24,"Outsmartimg the 20215 Housing Market","None","Mortgage Broker","Commerical",438,"Pre-Licensing","LinkedIn","C",NA,1000,NA,"Saturday",95.49,6,0.8,1.1,0,0
2022-12-25,"Transition from Home Real Estate to Commerical Real Estate","50% Off","Real Estate Agent","Other",498,"Other","Email","B",0.5,750,375,"Sunday",93.34,25,1.5,1,3,12
2022-12-25,"Transition from Home Real Estate to Commerical Real Estate","None","Mortgage Broker","Private",172,"Continuing Education","Email","C",NA,750,NA,"Sunday",359.97,21,0.8,1,2,9.52
2022-12-25,"20-Hour Mortage Broker Education","None","Real Estate Agent","Private",501,"Pre-Licensing","Direct","A",NA,2000,NA,"Sunday",433.35,39,0.8,1.4,5,12.82
2022-12-25,"20-Hour Mortage Broker Education","None","Real Estate Agent","Government",416,"Pre-Licensing","Email","B",NA,2000,NA,"Sunday",401.07,13,0.8,1,1,7.69
2022-12-26,"20-Hour Mortage Broker Education","30% Off","Other","Private",843,"Pre-Licensing","Conference","A",0.3,2000,600,"Monday",405.47,38,1.15,1.3,5,13.16
2022-12-26,"Appraisers State Exam","None","Appraiser","Other",824,"Pre-Licensing","Facebook","C",NA,750,NA,"Monday",325.44,20,0.8,1,1,5
2022-12-27,"Rental vs Sales - Defining Your Path","30% Off","Mortgage Broker","Commerical",738,"Pre-Licensing","Direct","B",0.3,200,60,"Tuesday",218.42,9,1.15,1.4,0,0
2022-12-27,"Appraisers State Exam","None","Mortgage Broker","Government",310,"Pre-Licensing","LinkedIn","A",NA,750,NA,"Tuesday",125.04,31,0.8,1.1,3,9.68
2022-12-27,"20-Hour Mortage Broker Education","30% Off","Appraiser","Commerical",649,"Pre-Licensing","Direct","B",0.3,2000,600,"Tuesday",218.74,33,1.15,1.4,2,6.06
2022-12-27,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Appraiser","Residential",866,"Pre-Licensing","Email","C",0.3,750,225,"Tuesday",474.04,37,1.15,1,5,13.51
2022-12-27,"Outsmartimg the 20215 Housing Market","50% Off","Mortgage Broker","Commerical",847,"Pre-Licensing","Facebook","B",0.5,1000,500,"Tuesday",433.84,27,1.5,1,4,14.81
2022-12-27,"Rental vs Sales - Defining Your Path","30% Off","Other","Private",610,"Continuing Education","Facebook","A",0.3,200,60,"Tuesday",421.27,6,1.15,1,0,0
2022-12-27,"Rental vs Sales - Defining Your Path","30% Off","Other","Other",215,"Pre-Licensing","Facebook","C",0.3,200,60,"Tuesday",216.07,17,1.15,1,1,5.88
2022-12-28,"Appraisers State Exam","30% Off","Appraiser","Private",326,"Pre-Licensing","Email","A",0.3,750,225,"Wednesday",423.75,19,1.15,1,1,5.26
2022-12-28,"20-Hour Mortage Broker Education","None","Appraiser","Government",126,"Continuing Education","Email","A",NA,2000,NA,"Wednesday",395.94,9,0.8,1,0,0
2022-12-28,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Mortgage Broker","Government",230,"Continuing Education","Email","A",0.3,750,225,"Wednesday",325.42,9,1.15,1,0,0
2022-12-28,"Outsmartimg the 20215 Housing Market","30% Off","Other","Government",642,"Continuing Education","Email","A",0.3,1000,300,"Wednesday",301.21,38,1.15,1,6,15.79
2022-12-29,"Transition from Home Real Estate to Commerical Real Estate","40% Off","Real Estate Agent","Residential",870,"Other","LinkedIn","C",0.4,750,300,"Thursday",102.97,22,1.3,1.1,3,13.64
2022-12-29,"Outsmartimg the 20215 Housing Market","None","Mortgage Broker","Government",265,"Continuing Education","LinkedIn","B",NA,1000,NA,"Thursday",94.86,20,0.8,1.1,1,5
2022-12-29,"20-Hour Mortage Broker Education","40% Off","Mortgage Broker","Other",455,"Continuing Education","Direct","A",0.4,2000,800,"Thursday",212.2,22,1.3,1.4,4,18.18
2022-12-30,"Real Estate Introduction","None","Mortgage Broker","Commerical",828,"Pre-Licensing","Direct","C",NA,1500,NA,"Friday",438.68,28,0.8,1.4,4,14.29
2022-12-30,"Appraisers State Exam","40% Off","Mortgage Broker","Other",588,"Pre-Licensing","Email","C",0.4,750,300,"Friday",413.13,34,1.3,1,2,5.88
2022-12-30,"Real Estate Introduction","None","Other","Commerical",909,"Pre-Licensing","Direct","C",NA,1500,NA,"Friday",241.76,19,0.8,1.4,3,15.79
2022-12-31,"75-Hr. PA Sales Pre-Licensing Course Only Package","None","Appraiser","Government",379,"Continuing Education","Email","B",NA,7500,NA,"Saturday",215.56,6,0.8,1,0,0
2023-01-01,"20-Hour Mortage Broker Education","50% Off","Real Estate Agent","Private",596,"Continuing Education","Email","A",0.5,2000,1000,"Sunday",395.77,35,1.5,1,3,8.57
2023-01-01,"20-Hour Mortage Broker Education","50% Off","Mortgage Broker","Private",463,"Continuing Education","Conference","B",0.5,2000,1000,"Sunday",223.97,19,1.5,1.3,2,10.53
2023-01-02,"Real Estate Introduction","30% Off","Appraiser","Residential",821,"Pre-Licensing","Facebook","A",0.3,1500,450,"Monday",114.7,19,1.15,1,2,10.53
2023-01-02,"Transition from Home Real Estate to Commerical Real Estate","None","Appraiser","Commerical",680,"Pre-Licensing","LinkedIn","C",NA,750,NA,"Monday",272.05,25,0.8,1.1,3,12
2023-01-02,"Appraisers State Exam","30% Off","Appraiser","Government",174,"Continuing Education","LinkedIn","C",0.3,750,225,"Monday",68.62,18,1.15,1.1,1,5.56
2023-01-02,"Rental vs Sales - Defining Your Path","None","Appraiser","Residential",663,"Continuing Education","LinkedIn","A",NA,200,NA,"Monday",109.59,37,0.8,1.1,4,10.81
2023-01-02,"20-Hour Mortage Broker Education","50% Off","Other","Government",805,"Pre-Licensing","Direct","C",0.5,2000,1000,"Monday",175.4,16,1.5,1.4,2,12.5
2023-01-02,"Appraisers State Exam","50% Off","Appraiser","Commerical",815,"Continuing Education","LinkedIn","B",0.5,750,375,"Monday",456.18,38,1.5,1.1,9,23.68
2023-01-02,"Appraisers State Exam","50% Off","Mortgage Broker","Residential",748,"Continuing Education","LinkedIn","C",0.5,750,375,"Monday",439.89,26,1.5,1.1,3,11.54
2023-01-02,"Rental vs Sales - Defining Your Path","30% Off","Mortgage Broker","Government",624,"Continuing Education","Email","B",0.3,200,60,"Monday",182.93,5,1.15,1,0,0
2023-01-03,"75-Hr. PA Sales Pre-Licensing Course Only Package","None","Other","Government",935,"Continuing Education","Direct","C",NA,7500,NA,"Tuesday",114.98,33,0.8,1.4,5,15.15
2023-01-03,"Appraisers State Exam","50% Off","Real Estate Agent","Residential",197,"Continuing Education","LinkedIn","C",0.5,750,375,"Tuesday",371.94,27,1.5,1.1,3,11.11
2023-01-03,"Appraisers State Exam","None","Real Estate Agent","Commerical",907,"Continuing Education","Direct","A",NA,750,NA,"Tuesday",316.93,5,0.8,1.4,0,0
2023-01-03,"Transition from Home Real Estate to Commerical Real Estate","40% Off","Other","Commerical",480,"Continuing Education","Direct","B",0.4,750,300,"Tuesday",175.53,20,1.3,1.4,4,20
2023-01-04,"Real Estate Introduction","30% Off","Mortgage Broker","Government",111,"Pre-Licensing","Direct","B",0.3,1500,450,"Wednesday",298.39,39,1.15,1.4,7,17.95
2023-01-04,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Mortgage Broker","Private",155,"Continuing Education","LinkedIn","B",0.3,750,225,"Wednesday",353.17,22,1.15,1.1,1,4.55
2023-01-04,"Transition from Home Real Estate to Commerical Real Estate","None","Real Estate Agent","Residential",161,"Pre-Licensing","LinkedIn","A",NA,750,NA,"Wednesday",343.55,27,0.8,1.1,1,3.7
2023-01-05,"20-Hour Mortage Broker Education","40% Off","Real Estate Agent","Other",494,"Pre-Licensing","Facebook","C",0.4,2000,800,"Thursday",492.26,30,1.3,1,4,13.33
2023-01-05,"75-Hr. PA Sales Pre-Licensing Course Only Package","50% Off","Mortgage Broker","Residential",875,"Continuing Education","LinkedIn","B",0.5,7500,3750,"Thursday",261.73,26,1.5,1.1,3,11.54
2023-01-05,"20-Hour Mortage Broker Education","40% Off","Real Estate Agent","Other",783,"Continuing Education","LinkedIn","C",0.4,2000,800,"Thursday",184.07,33,1.3,1.1,4,12.12
2023-01-06,"Outsmartimg the 20215 Housing Market","None","Real Estate Agent","Residential",294,"Pre-Licensing","Direct","B",NA,1000,NA,"Friday",458.05,24,0.8,1.4,3,12.5
2023-01-06,"Transition from Home Real Estate to Commerical Real Estate","50% Off","Other","Government",721,"Pre-Licensing","LinkedIn","B",0.5,750,375,"Friday",69.96,38,1.5,1.1,3,7.89
2023-01-06,"Outsmartimg the 20215 Housing Market","50% Off","Mortgage Broker","Residential",609,"Continuing Education","LinkedIn","A",0.5,1000,500,"Friday",460.94,30,1.5,1.1,3,10
